RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1523,15720662,Sholes,787.0,France,Female,35.0,1,106266.8,1,1,1,16607.15,0
8344,15591698,P'eng,849.0,Germany,Female,49.0,9,132934.89,1,1,0,171056.65,1
6046,15784594,Mazzi,549.0,Germany,Female,37.0,1,130622.34,2,1,1,128499.94,0
9546,15570073,Marian,721.0,Spain,Male,57.0,1,0.0,1,1,1,195940.96,0
4003,15811486,Tang,634.0,Germany,Female,29.0,8,130036.21,2,0,1,69849.55,0
25,15625047,Yen,846.0,France,Female,38.0,5,0.0,1,1,1,187616.16,0
5187,15722425,Lucchese,639.0,France,Male,32.0,9,0.0,2,1,0,111340.36,0
2233,15671969,Pruneda,649.0,Spain,Male,36.0,8,0.0,2,1,0,161668.15,0
6991,15648725,Sinclair,660.0,France,Male,41.0,3,0.0,2,1,1,108665.89,0
7455,15627365,Calabresi,732.0,France,Male,46.0,0,0.0,2,1,1,184350.78,0
1936,15799031,Ayers,523.0,France,Male,39.0,3,0.0,2,1,0,6726.53,0
5707,15801431,Rowe,682.0,Spain,Female,48.0,9,101198.01,1,1,1,49732.9,0
4954,15684516,Plascencia,629.0,Spain,Male,34.0,1,121151.05,1,0,0,119357.93,0
9781,15617432,Folliero,816.0,Germany,Female,40.0,9,109003.26,1,1,1,79580.56,0
1225,15628298,Johnstone,500.0,Spain,Female,47.0,8,128486.11,1,1,0,179227.12,0
7722,15677955,Tsui,757.0,Germany,Male,33.0,1,122088.67,1,1,0,42581.09,0
1234,15575410,Chidiegwu,667.0,Germany,Female,39.0,4,83765.35,2,1,0,118358.54,0
1202,15651052,McMasters,399.0,Germany,Male,46.0,2,127655.22,1,1,0,139994.68,1
6856,15737814,Lo,622.0,France,Male,41.0,2,127087.06,1,1,0,,1
5959,15741719,DeRose,540.0,France,Female,40.0,3,165298.12,1,0,1,199862.75,0
4743,15762134,Liang,506.0,Germany,Male,59.0,8,119152.1,2,1,1,170679.74,0
8307,15777060,Olszewski,770.0,France,Female,33.0,4,0.0,1,1,0,26080.54,1
3241,15717560,Martin,580.0,France,Male,50.0,0,125647.36,1,1,0,57541.08,1
2050,15723008,Lo Duca,720.0,France,Female,45.0,1,102882.4,2,1,1,35633.15,1
833,15797964,Cameron,732.0,Germany,Female,29.0,1,154333.82,1,1,1,138527.56,0
4153,15662532,Holmes,757.0,Germany,Male,31.0,8,149085.9,2,1,1,197077.36,0
2175,15633108,Thorpe,646.0,France,Male,26.0,4,139848.17,1,1,0,164696.27,0
7326,15787229,Samsonova,761.0,Spain,Female,34.0,2,0.0,2,1,0,61251.25,0
1646,15600110,Endrizzi,506.0,Germany,Female,41.0,3,57745.76,1,1,0,576.4942857142858,0
7209,15596165,Degtyarev,547.0,Germany,Male,25.0,4,98141.57,2,1,1,52309.8,0
520,15745417,Knipe,707.0,France,Male,58.0,6,89685.92,1,0,1,126471.13,0
9126,15604138,Iheanacho,93.625,Spain,Male,34.0,2,0.0,1,0,0,174189.04,1
3607,15616922,Kelly,479.0,France,Female,26.0,1,0.0,2,1,1,19116.97,0
4342,15665376,Lavrentiev,647.0,Germany,Female,35.0,3,166518.63,2,1,0,147930.46,0
438,15624623,Hs?,516.0,France,Male,35.0,10,104088.59,2,0,0,119666.0,0
2635,15680278,Ts'ai,661.0,Spain,Female,,9,75361.44,1,1,0,27608.12,1
7461,15622083,Paterson,647.0,Germany,Male,30.0,6,143138.91,2,1,0,2955.46,0
8190,15613292,Ch'eng,715.0,France,Male,4.2,8,0.0,2,1,0,68666.63,0
3282,15707634,Anenechukwu,775.0,France,Female,,2,108698.96,2,1,1,161069.73,0
6664,15766185,She,850.0,Germany,Male,31.0,4,146587.3,1,1,1,89874.82,0
1412,15693904,Chiang,685.0,Germany,Female,30.0,4,84958.6,2,0,1,194343.72,0
7193,15644400,Anderson,709.0,France,Male,44.0,9,128601.98,1,1,0,117031.2,0
3141,15780572,Mansom,653.0,Spain,Male,30.0,4,0.0,2,1,0,120736.04,0
5438,15733476,Gonzalez,543.0,Germany,Male,30.0,6,73481.05,1,1,1,176692.65,0
6225,15616122,Nwokike,777.0,France,Male,39.0,8,0.0,2,1,1,18613.52,0
3428,15715079,Bold,465.0,France,Male,41.0,9,117221.15,1,1,0,168280.95,0
5394,15763327,Craig,835.0,France,Male,32.0,8,124993.29,2,1,1,27548.06,0
8600,15708713,Hill,633.0,France,Male,35.0,3,0.0,2,1,1,36249.76,0
9045,15653347,Chiu,560.0,Spain,Male,47.0,1,0.0,1,0,0,128882.66,1
2191,15609998,Okwudilichukwu,700.0,Germany,Female,59.0,5,137648.41,1,1,0,142977.05,1
1979,15792329,Mao,494.0,Germany,Male,37.0,5,107106.33,2,1,0,172063.09,0
9353,15610090,Han,667.0,France,Male,40.0,8,72945.29,2,1,0,98931.5,0
1887,15566958,Li Fonti,667.0,Spain,Male,39.0,7,167557.12,1,1,1,41183.02,0
3659,15661903,Hsia,699.0,France,Female,43.0,3,80764.03,1,1,0,199378.58,1
4237,15669945,Jackson,492.0,France,Male,35.0,4,141359.37,2,1,0,39519.53,0
7950,15617486,Sullivan,530.0,France,Male,260.0,1,106723.28,1,0,0,109960.4,1
4026,15640769,Hobbs,660.0,France,Male,,8,137841.53,1,1,1,42790.29,0
9448,15810390,Amadi,718.0,France,Female,41.0,1,0.0,2,0,1,27509.52,1
2642,15599301,Tao,538.0,Germany,Female,28.0,6,164365.44,1,0,1,5698.97,0
926,15636731,Ts'ai,714.0,Germany,Female,36.0,1,101609.01,2,1,1,447.73,0
3639,15684367,Chigbogu,555.0,Spain,Male,27.0,5,0.0,2,0,0,96398.51,0
5716,15657396,Marshall,806.0,France,Male,31.0,9,0.0,2,0,1,140168.36,0
821,15596939,Calabresi,659.0,Germany,Male,36.0,4,132578.92,2,1,0,84320.94,0
8787,15770968,Leason,741.0,Germany,Female,19.0,8,108711.57,2,1,0,24857.25,0
9604,15698927,Ritchie,675.0,France,Male,,7,0.0,2,0,1,36267.21,0
6411,15762351,Chao,689.0,Spain,Female,63.0,1,0.0,2,1,1,186526.12,0
4785,15811588,Eluemuno,664.0,Spain,Female,53.0,7,187602.18,1,1,0,186392.99,1
1444,15598751,Ingram,556.0,France,Female,43.0,6,0.0,3,0,0,125154.57,1
3489,15705001,Napolitani,587.0,Spain,Female,35.0,3,83286.56,1,1,0,125553.52,0
8984,15783025,Piazza,723.0,Germany,Male,37.0,3,94661.53,2,1,0,121239.65,0
1451,15676242,Artemova,632.0,Spain,Male,31.0,3,136556.44,1,1,0,82152.83,1
2315,15756056,Ku,561.0,Spain,Female,28.0,3,0.0,2,1,0,191387.76,0
2405,15809286,Burke,631.0,Germany,Male,37.0,8,138292.64,2,0,0,152422.91,1
9239,15639133,Ku,773.0,France,Female,50.0,4,0.0,2,1,0,129372.94,0
3089,15730448,Iroawuchi,538.0,Germany,Male,5.0,5,62482.95,1,1,1,102758.43,0
8929,15567855,Chukwufumnanya,623.0,France,Female,145.0,1,0.0,2,0,0,39382.06,0
6329,15629545,Buckley,790.0,Spain,Female,8.2,7,109508.68,1,0,0,86776.38,0
9797,15794236,Thorpe,642.0,Germany,Male,22.0,10,111812.52,2,1,1,183045.46,0
497,15662403,Kryukova,622.0,France,Female,32.0,6,169089.38,2,1,0,101057.95,0
6984,15669501,Kuo,706.0,France,Male,35.0,5,0.0,2,1,1,81718.37,0
1027,15767864,Fulton,5024.0,France,Male,33.0,6,0.0,2,0,0,184230.23,0
4604,15671172,Swain,623.0,France,Male,23.0,1,106012.2,2,0,1,191415.94,0
8100,15661656,Onwumelu,633.0,France,Male,38.0,2,91902.56,2,1,1,107673.35,0
8063,15812607,Wilson,663.0,Germany,Female,46.0,6,95439.4,1,1,1,21038.58,1
7397,15603565,Mackenzie,603.0,Spain,Female,56.0,5,90778.76,2,1,0,162223.67,1
4880,15777045,Price,783.0,Spain,Female,44.0,3,81811.71,1,1,0,164213.53,1
4974,15596962,Owens,617.0,France,Female,24.0,4,137295.19,2,1,1,91195.12,0
1063,15631189,Riggs,613.0,Germany,Male,38.0,9,67111.65,1,1,0,78566.64,1
5334,15784445,Huang,717.0,Spain,Male,33.0,1,99106.73,1,0,0,194467.23,0
7571,15791944,Harker,697.0,France,Male,32.0,7,175464.85,3,1,0,815096.94,1
2806,15618936,MacDonald,688.0,France,Female,51.0,5,0.0,1,1,0,91624.11,1
6422,15579994,Shaw,616.0,France,Male,23.0,8,73112.95,1,1,1,62733.05,0
5975,15809279,Wallace,773.0,France,Male,45.0,8,96877.21,1,1,1,113950.51,0
7194,15797246,Terry,621.0,Germany,Female,34.0,2,91258.52,2,1,0,44857.4,0
6042,15749472,Lucciano,775.0,France,Male,45.0,8,0.0,1,1,0,130376.68,0
7414,15604536,Vachon,850.0,Germany,Female,31.0,4,164672.66,1,0,1,61936.1,0
5164,15633870,Ozioma,850.0,France,Female,36.0,10,0.0,2,1,1,100750.03,0
1897,15604588,Li Fonti,850.0,Spain,Female,38.0,3,0.0,2,0,1,179360.76,0
6357,15776743,Eberegbulam,647.0,France,Male,43.0,9,0.0,2,1,1,78488.39,0
705,15808621,Mordvinova,659.0,Germany,Male,36.0,2,76190.48,2,1,1,149066.14,0
2328,15613713,Kozlova,644.0,France,Male,30.0,5,44928.88,1,1,1,10771.46,0
4923,15751203,Cattaneo,702.0,France,Male,26.0,5,56738.47,2,1,1,100442.22,1
8358,15603035,Vincent,651.0,France,Male,34.0,3,0.0,2,1,1,105599.65,0
6125,15643359,Carter,736.0,Spain,Male,32.0,7,0.0,1,0,1,79082.62,0
1417,15667651,Young,585.0,Spain,Female,33.0,8,0.0,2,1,0,114182.07,0
7162,15775235,Ku,690.0,France,Female,36.0,6,110480.48,1,0,0,81292.33,0
1677,15658057,Padovesi,812.0,Spain,Female,44.0,8,0.0,3,1,0,66926.83,1
145,15612350,Taylor,691.0,France,Female,31.0,5,40915.55,1,1,0,126213.84,1
5321,15591550,Bianchi,525.0,Spain,Male,36.0,3,77910.23,1,1,0,67238.01,0
4146,15729018,Alexander,666.0,France,Female,33.0,2,147229.65,1,1,1,56410.17,0
7514,15632275,Trevisano,718.0,France,Male,29.0,2,0.0,1,1,0,126336.72,0
7987,15678067,Boyle,667.0,Spain,Male,45.0,3,0.0,2,0,0,163655.01,0
9315,15645371,Cameron,613.0,Germany,Female,51.0,7,147262.11,1,1,1,53630.9,1
4461,15637678,Ma,661.0,France,Male,35.0,5,0.0,1,1,0,155394.52,0
989,15664521,David,659.0,Spain,Male,31.0,7,149620.88,2,1,1,104533.51,0
4486,15630580,Y?,751.0,Germany,Male,34.0,9,108513.25,2,1,1,27097.82,0
8645,15605673,Liang,716.0,Spain,Female,29.0,8,0.0,2,0,0,78616.92,0
9023,15694995,O'Sullivan,712.0,France,Male,23.0,2,0.0,2,0,1,66795.78,0
9500,15700813,Igwebuike,522.0,Germany,Female,25.0,5,94049.92,2,1,0,103269.0,0
114,15591100,Chiemela,675.0,Spain,Male,36.0,9,106190.55,1,0,1,22994.32,0
6501,15625964,Buckley,582.0,France,Female,43.0,5,153313.67,1,0,0,170563.73,0
6653,15714380,Butcher,827.0,France,Male,38.0,5,0.0,2,0,0,103305.01,0
2490,15776824,Rossi,714.0,France,Male,28.0,6,122724.37,1,1,1,67057.27,0
2959,15814004,Fyodorova,589.0,France,Male,29.0,2,0.0,2,0,1,98320.27,0
1311,15759317,Vasilieva,748.0,Germany,Female,27.0,2,90971.85,1,1,1,131662.47,0
8969,15572428,Rieke,717.0,Germany,Female,33.0,0,115777.23,1,1,1,81508.1,0
9455,15739248,Lin,727.0,France,Male,52.0,4,0.0,2,1,1,118429.02,0
2461,15726403,Glenny,660.0,Germany,Male,41.0,1,129901.21,1,1,0,26025.6,1
9005,15723153,Wearing,708.0,Spain,Male,33.0,3,0.0,2,1,0,138613.21,0
3949,15743818,Rowley,748.0,Spain,Male,58.0,9,122330.7,2,0,1,124429.19,0
5202,15625675,Clements,569.0,France,Male,,1,67087.69,1,1,0,154775.7,0
398,15612187,Morin,547.0,Germany,Male,32.0,8,155726.85,1,1,0,67789.99,0
9575,15720123,Hudson,554.0,Spain,Male,37.0,3,0.0,2,1,0,166177.3,0
310,15746726,Doyle,438.0,Germany,Male,31.0,8,78398.69,1,1,0,44937.01,0
5828,15801701,Robson,653.0,Spain,Male,35.0,9,0.0,2,1,1,45956.05,0
1906,15566843,Gotch,535.0,Germany,Male,20.0,9,134874.4,1,1,1,118825.56,0
1209,15616451,Genovese,697.0,France,Female,47.0,6,128252.66,1,1,1,168053.4,0
5370,15674541,Robinson,575.0,Spain,Male,52.0,8,123925.23,1,0,0,111342.66,1
2819,15806837,Nnaife,669.0,France,Male,37.0,4,0.0,1,1,0,132540.33,0
1831,15572467,Chandler,506.0,France,Male,37.0,5,0.0,2,1,1,127543.81,0
4515,15658670,Chien,,France,Female,38.0,8,0.0,2,1,0,84049.16,0
2931,15573452,Manning,663.0,Germany,Male,42.0,7,115930.87,1,1,0,19862.78,0
1014,15603594,Nwankwo,635.0,Spain,Male,24.0,4,0.0,2,1,1,70668.77,0
6119,15656100,Candler,632.0,France,Female,49.0,5,167962.7,1,0,0,140201.21,0
2132,15792660,Gibbons,614.0,France,Male,38.0,2,116248.88,1,1,0,105140.92,0
4892,15676958,Zito,765.0,Germany,Male,34.0,5,86055.17,2,1,1,104220.5,0
5555,15784218,Mason,620.0,Spain,Male,38.0,0,0.0,2,1,1,38015.34,0
3731,15689152,Loggia,683.0,Spain,Male,38.0,3,126152.84,1,0,0,107651.25,0
3055,15791174,Leibius,540.0,Spain,Male,67.0,1,88382.01,1,0,1,59457.0,0
9627,15665158,Chukwuemeka,813.0,Spain,Male,27.0,1,137275.36,1,0,1,115733.16,0
7640,15665590,Moore,541.0,France,Male,46.0,6,0.0,2,1,1,83456.67,0
3577,15635285,Taylor,647.0,France,Male,28.0,8,0.0,2,1,1,91055.27,0
119,15661670,Chidozie,524.0,Germany,Female,31.0,8,107818.63,1,1,0,199725.39,1
5473,15804201,Jones,457.0,Germany,Male,42.0,4,126772.57,1,0,1,126106.4,0
8237,15636595,Loton,602.0,Spain,Male,37.0,3,107592.89,2,0,1,153122.73,0
8329,15687171,Birch,638.0,Spain,Male,34.0,5,146679.77,1,1,0,102179.86,0
2232,15795954,Ndukaku,746.0,France,Male,35.0,2,172274.01,1,1,0,22374.97,0
6129,15672016,Sabbatini,819.0,France,Male,35.0,1,0.0,2,0,1,3385.04,0
959,15619529,Ndukaku,531.0,Spain,Male,27.0,8,132576.25,1,0,0,7222.92,0
8652,15760450,Rutherford,512.0,France,Male,43.0,1,0.0,2,1,1,52471.36,0
8562,15744913,Chizoba,788.0,Spain,Male,36.0,10,109632.85,1,1,1,16149.13,0
5538,15735346,Wallace,527.0,Germany,Female,41.0,10,136733.24,1,1,1,57589.29,0
4051,15585734,Gouger,803.0,Germany,Male,41.0,9,137742.9,2,1,1,166957.82,0
9357,15734711,Loggia,373.0,France,Male,42.0,7,0.0,1,1,0,,1
3973,15668695,Endrizzi,536.0,France,Female,22.0,5,89492.62,1,0,0,42934.43,0
8934,15631162,Bergamaschi,631.0,France,Male,32.0,10,0.0,2,0,1,196342.66,0
2165,15794479,Becker,767.0,Spain,Male,77.0,8,149083.7,1,1,1,190146.83,0
4798,15666173,Chidumaga,793.0,Germany,Female,6.4,1,96408.98,1,1,1,138191.81,0
2276,15579208,Chikezie,4400.0,France,Female,48.0,6,0.0,2,1,1,191870.28,0
9434,15582903,Edwards,643.0,France,Male,39.0,7,0.0,2,1,1,170392.59,0
5712,15730345,Miah,617.0,France,Female,35.0,2,104508.1,1,1,1,,0
3781,15685290,Wall,595.0,Germany,Male,46.0,5,142360.62,2,1,0,48421.4,1
7789,15674671,Conway,551.0,Spain,Male,76.0,2,128410.71,2,1,1,181718.73,0
5951,15806808,Hope,834.0,Germany,Female,57.0,8,112281.6,3,1,0,140225.14,1
6359,15730418,Lucchesi,652.0,France,Female,32.0,2,0.0,2,1,0,54628.11,0
8186,15812356,Doherty,722.0,Germany,Female,40.0,6,89175.06,2,0,1,152883.95,0
8742,15762855,Hill,622.0,Spain,Female,23.0,8,0.0,2,1,1,131389.39,0
6842,15793491,Cherkasova,714.0,Germany,Male,26.0,3,119545.48,2,1,0,65482.94,0
5715,15604158,Smith,554.0,France,Female,39.0,10,0.0,2,1,1,18391.93,0
8914,15717307,Read,496.0,France,Male,31.0,5,0.0,2,1,0,93713.13,0
4653,15675252,Martin,734.0,Spain,Female,39.0,3,92636.96,2,1,1,125671.29,0
3384,15665766,T'ang,698.0,Germany,Male,39.0,9,133191.19,2,0,1,53289.49,0
2266,15734628,Lysaght,623.0,France,Female,35.0,5,0.0,2,1,0,101192.08,0
3770,15663263,Collins,698.0,France,Male,47.0,5,156265.31,2,0,0,1055.66,0
7290,15680895,Sal,627.0,Spain,Female,35.0,7,0.0,1,1,0,187718.26,0
7609,15598574,Uwakwe,695.0,Spain,Female,31.0,5,0.0,2,0,1,13998.88,0
8032,15595874,Gorbunova,666.0,Spain,Female,36.0,6,0.0,2,1,0,176692.87,0
5482,15606397,Cameron,577.0,Germany,Female,8.8,1,152086.15,1,0,1,44719.5,1
2085,15668669,Benson,423.0,France,Female,36.0,5,97665.61,1,1,0,118372.55,1
4181,15569438,Mai,607.0,Germany,Male,36.0,10,106702.94,2,0,0,,0
6542,15685564,Nnamutaezinwa,748.0,Spain,Male,35.0,5,105492.53,1,1,1,150057.2,0
4384,15800784,Bruce,645.0,France,Male,42.0,4,98298.18,1,1,1,676.06,0
6023,15805690,Chin,694.0,Spain,Female,35.0,7,0.0,1,1,0,133570.43,1
4187,15702175,Herrin,755.0,France,Female,29.0,4,148654.84,2,1,1,28805.09,0
9085,15593499,Stevens,686.0,Spain,Female,47.0,6,0.0,1,1,0,32080.69,1
8364,15677336,Aitken,557.0,Germany,Male,57.0,1,120043.13,1,1,0,132370.75,1
8716,15750837,Landseer,579.0,Germany,Male,41.0,0,141749.68,1,0,1,9201.53,0
7107,15723989,Carroll,646.0,France,Male,40.0,5,93680.43,2,1,1,179473.26,0
7201,15593959,Travis,524.0,France,Male,28.0,1,93577.3,1,1,1,51670.82,0
1043,15593969,Abramovich,630.0,Spain,Female,39.0,7,135483.17,1,1,0,140881.2,1
6613,15615938,Fleming,502.0,France,Female,64.0,3,139663.37,1,0,1,100995.11,0
7668,15606554,Douglas,797.0,France,Male,29.0,1,0.0,1,0,1,149991.32,0
1715,15738828,Milano,730.0,Germany,Male,45.0,6,152880.97,1,0,0,162478.11,0
1357,15769005,Hayward,709.0,France,Male,49.0,4,154344.49,2,1,1,38794.57,0
1795,15606841,Ibbott,823.0,France,Male,38.0,1,0.0,2,1,0,156603.7,0
4542,15815131,Howells,617.0,Spain,Female,36.0,7,115617.24,1,1,1,71519.4,0
5374,15709412,H?,776.0,Spain,Male,30.0,6,0.0,2,0,1,63908.86,0
1328,15688007,Liu,703.0,Spain,Male,20.0,3,165260.98,1,1,1,41626.78,0
406,15692761,Pratt,718.0,France,Male,36.0,9,0.0,1,1,0,45909.87,0
4719,15675787,Rivera,505.0,France,Male,26.0,8,112972.57,1,1,0,145011.62,0
3118,15732987,Hs?,721.0,Spain,Male,43.0,3,88798.34,1,0,0,45610.63,0
9209,15744717,Duffy,726.0,France,Female,44.0,2,0.0,2,1,1,26733.86,0
5852,15722053,Oguejiofor,576.0,Spain,Male,33.0,3,0.0,2,0,1,190112.05,0
7229,15707602,Macleod,539.0,France,Female,47.0,2,127286.04,2,1,1,166929.43,1
8090,15623357,Onio,692.0,Germany,Male,24.0,2,120596.93,1,0,1,180490.53,0
4788,15752885,Nnonso,529.0,France,Male,42.0,1,157498.9,1,1,1,82276.62,0
1439,15574068,Norman,504.0,Germany,Male,56.0,9,104217.3,1,0,0,55857.48,1
964,15731815,Nepean,529.0,Spain,Male,63.0,4,96134.11,3,1,0,108732.96,1
7581,15781975,Rees,708.0,France,Male,34.0,3,0.0,1,0,1,121457.88,1
857,15693864,Iheanacho,567.0,Germany,Female,49.0,5,134956.02,1,1,0,93953.84,1
2692,15629150,Lucchese,721.0,France,Female,37.0,1,0.0,2,1,0,70810.8,0
8198,15741180,Eddy,617.0,France,Male,54.0,6,102141.9,1,1,1,45325.26,0
4445,15639049,Cartagena,489.0,France,Female,31.0,7,139395.08,1,0,1,6120.84,0
2689,15728474,Chienezie,558.0,Germany,Male,32.0,4,108235.91,1,1,1,143783.28,0
17,15737452,Romeo,653.0,Germany,Male,58.0,1,132602.88,1,1,0,5097.67,1
3574,15791988,Chinomso,670.0,France,Male,68.0,4,0.0,2,1,1,11426.7,0
1653,15675501,Woods,616.0,France,Male,59.0,5,153861.1,1,1,1,17699.48,0
9880,15669414,Pisano,486.0,Germany,Male,62.0,9,118356.89,2,1,0,168034.83,1
8587,15694039,Jen,650.0,Germany,Female,46.0,9,149003.76,2,1,0,176902.83,0
7499,15659031,Mordvinova,630.0,France,Female,36.0,8,126598.99,2,1,1,134407.93,0
5193,15607884,Wallace,663.0,France,Female,39.0,8,0.0,2,1,1,101168.9,0
4817,15582841,Butusov,600.0,France,Male,29.0,8,0.0,2,0,1,34747.43,0
1704,15750466,Rhodes,790.0,Germany,Male,42.0,1,85839.62,1,1,0,198182.73,0
5315,15788068,Lopez,743.0,Germany,Male,45.0,10,144677.19,3,1,0,22512.44,1
4236,15609299,Chamberlain,595.0,France,Male,29.0,6,150685.79,1,1,0,87771.06,0
